timestamp,open,high,low,close,volume,symbol,timeframe
2024-04-18 19:57:38.329375,29688.90880703819,29873.65637591679,29573.113585374205,29401.90333824059,1221,BTCUSDT,1h
2024-04-18 20:57:38.329375,28636.291241657575,29365.837035939327,28716.223327909065,29009.61782559909,4334,BTCUSDT,1h
2024-04-18 21:57:38.329375,29095.02879178877,29337.219415175034,29077.142640091854,29442.60748360224,2167,BTCUSDT,1h
2024-04-18 22:57:38.329375,30106.63337238563,30774.938801428478,29974.1483256897,29932.846635496153,787,BTCUSDT,1h
2024-04-18 23:57:38.329375,28851.859724425663,28427.19224082604,28759.73090632005,28870.428304850884,3574,BTCUSDT,1h
2024-04-19 00:57:38.329375,28713.237196429844,29413.80304372036,28656.473631555637,28844.229644579395,2724,BTCUSDT,1h
2024-04-19 01:57:38.329375,30192.53071462474,30330.16346322718,29804.17665598909,29887.43887521393,6842,BTCUSDT,1h
2024-04-19 02:57:38.329375,29446.63344259264,29892.43347584359,29244.8761198419,29391.484672416933,8170,BTCUSDT,1h
2024-04-19 03:57:38.329375,28682.569009256353,28931.413901912252,28740.25495302612,28667.52682877368,2854,BTCUSDT,1h
2024-04-19 04:57:38.329375,29486.507193477766,29737.031457328565,29216.900032729514,29257.457224626076,2683,BTCUSDT,1h
2024-04-19 05:57:38.329375,28580.796941587734,28992.25401603646,28188.88937156895,28688.207408959704,4012,BTCUSDT,1h
2024-04-19 06:57:38.329375,29163.761546055044,29548.0407415128,28718.182237186247,28709.89123557747,601,BTCUSDT,1h
2024-04-19 07:57:38.329375,28922.296432247076,29201.058787870003,28849.286785424112,29151.118330442452,5915,BTCUSDT,1h
2024-04-19 08:57:38.329375,28142.93610777096,28578.205356447477,27989.829990291622,27958.662915139757,7336,BTCUSDT,1h
2024-04-19 09:57:38.329375,28512.450981992668,28346.290135620544,27937.237347846316,28106.54704273957,1927,BTCUSDT,1h
2024-04-19 10:57:38.329375,28419.545335929106,28956.55993446278,28508.27875278583,28813.67438238589,3740,BTCUSDT,1h
2024-04-19 11:57:38.329375,28502.708402534132,28985.397405531905,28343.140094502098,28600.736412575632,3753,BTCUSDT,1h
2024-04-19 12:57:38.329375,29752.100387673483,30200.241062833047,29480.129310820135,29414.20311492635,13144,BTCUSDT,1h
2024-04-19 13:57:38.329375,29076.697859396165,29357.409895431287,28468.548938873046,28742.14886734317,3328,BTCUSDT,1h
2024-04-19 14:57:38.329375,28435.98950379883,28515.180955804284,28184.805999817352,28484.797814815312,1306,BTCUSDT,1h
2024-04-19 15:57:38.329375,29975.49151617313,30621.240037342304,30006.09787623507,30196.52372322838,4646,BTCUSDT,1h
